"decimalLatitude","decimalLongitude","species"
-37.69278,149.05278,"Leptospermum trinervium"
-37.69278,149.17472,"Leptospermum trinervium"
-37.6925,149.16167,"Leptospermum trinervium"
-37.6909,149.42617,"Leptospermum trinervium"
-37.6901,149.44755,"Leptospermum trinervium"
-37.68853,148.97832,"Leptospermum trinervium"
-37.68833,149.51333,"Leptospermum trinervium"
-37.688311,148.813083,"Leptospermum trinervium"
-37.68806,149.15833,"Leptospermum trinervium"
-37.6875,149.51444,"Leptospermum trinervium"
-37.68722,149.24417,"Leptospermum trinervium"
-37.68694,149.01417,"Leptospermum trinervium"
-37.68444,149.15472,"Leptospermum trinervium"
-37.68392,149.06767,"Leptospermum trinervium"
-37.68345,149.41083,"Leptospermum trinervium"
-37.68306,149.09694,"Leptospermum trinervium"
-37.68167,149.62611,"Leptospermum trinervium"
-37.680812,149.419844,"Leptospermum trinervium"
-37.68028,149.14333,"Leptospermum trinervium"
-37.67989,149.41075,"Leptospermum trinervium"
-37.679775,149.419777,"Leptospermum trinervium"
-37.679,149.07103,"Leptospermum trinervium"
-37.67759,149.07133,"Leptospermum trinervium"
-37.673611,149.160278,"Leptospermum trinervium"
-37.67333,149.18222,"Leptospermum trinervium"
-37.67211,149.07756,"Leptospermum trinervium"
-37.67162,149.31147,"Leptospermum trinervium"
-37.67087,149.07944,"Leptospermum trinervium"
-37.670203,149.199029,"Leptospermum trinervium"
-37.67,149.52833,"Leptospermum trinervium"
-37.67,149.52611,"Leptospermum trinervium"
-37.66944,149.51472,"Leptospermum trinervium"
-37.66916,149.08055,"Leptospermum trinervium"
-37.6667,149.15,"Leptospermum trinervium"
-37.666667,149,"Leptospermum trinervium"
-37.666667,149.15,"Leptospermum trinervium"
-37.666667,149,"Leptospermum trinervium"
-37.666667,149,"Leptospermum trinervium"
-37.66298,149.08218,"Leptospermum trinervium"
-37.66,149.15972,"Leptospermum trinervium"
-37.65955,149.08371,"Leptospermum trinervium"
-37.65944,149.20111,"Leptospermum trinervium"
-37.658,149.08402,"Leptospermum trinervium"
-37.65778,149.51333,"Leptospermum trinervium"
-37.65694,149.50417,"Leptospermum trinervium"
-37.65278,149.52556,"Leptospermum trinervium"
-37.65194,149.15722,"Leptospermum trinervium"
-37.65111,149.15722,"Leptospermum trinervium"
-37.65096,149.08194,"Leptospermum trinervium"
-37.65028,149.15611,"Leptospermum trinervium"
-37.64842,149.64558,"Leptospermum trinervium"
-37.64758,149.64725,"Leptospermum trinervium"
-37.64317,149.08483,"Leptospermum trinervium"
-37.64147,149.0852,"Leptospermum trinervium"
-37.634684,149.514078,"Leptospermum trinervium"
-37.63183,149.68488,"Leptospermum trinervium"
-37.63167,149.65111,"Leptospermum trinervium"
-37.63167,148.21944,"Leptospermum trinervium"
-37.63145,149.08528,"Leptospermum trinervium"
-37.63009,148.60213,"Leptospermum trinervium"
-37.6291,149.129,"Leptospermum trinervium"
-37.62873,149.08662,"Leptospermum trinervium"
-37.6261,149.6914,"Leptospermum trinervium"
-37.62476,149.08888,"Leptospermum trinervium"
-37.62361,149.69505,"Leptospermum trinervium"
-37.62333,149.13444,"Leptospermum trinervium"
-37.62093,149.70148,"Leptospermum trinervium"
-37.62084,149.69765,"Leptospermum trinervium"
-37.6208,149.7014,"Leptospermum trinervium"
-37.62077,149.69951,"Leptospermum trinervium"
-37.61778,149.32333,"Leptospermum trinervium"
-37.61611,149.47806,"Leptospermum trinervium"
-37.615,149.20111,"Leptospermum trinervium"
-37.615,149.18722,"Leptospermum trinervium"
-37.61278,149.13917,"Leptospermum trinervium"
-37.61222,149.67611,"Leptospermum trinervium"
-37.61092,149.70467,"Leptospermum trinervium"
-37.60944,149.50389,"Leptospermum trinervium"
-37.60944,149.49972,"Leptospermum trinervium"
-37.60861,149.49361,"Leptospermum trinervium"
-37.60841,149.6426,"Leptospermum trinervium"
-37.6083,149.64312,"Leptospermum trinervium"
-37.60806,149.25,"Leptospermum trinervium"
-37.60667,149.49806,"Leptospermum trinervium"
-37.60444,149.51139,"Leptospermum trinervium"
-37.60417,149.10694,"Leptospermum trinervium"
-37.60413,149.39597,"Leptospermum trinervium"
-37.60278,149.52944,"Leptospermum trinervium"
-37.60139,149.70833,"Leptospermum trinervium"
-37.60083,149.47861,"Leptospermum trinervium"
-37.6,149.7167,"Leptospermum trinervium"
-37.6,149.71167,"Leptospermum trinervium"
-37.59833,149.66778,"Leptospermum trinervium"
-37.597826,149.731207,"Leptospermum trinervium"
-37.59722,149.54083,"Leptospermum trinervium"
-37.59556,149.70944,"Leptospermum trinervium"
-37.59278,149.46917,"Leptospermum trinervium"
-37.582222,149.649444,"Leptospermum trinervium"
-37.58016,149.12833,"Leptospermum trinervium"
-37.576913,149.748694,"Leptospermum trinervium"
-37.57611,149.65111,"Leptospermum trinervium"
-37.576083,149.749113,"Leptospermum trinervium"
-37.57472,149.64389,"Leptospermum trinervium"
-37.5739,149.7494,"Leptospermum trinervium"
-37.57333,149.46222,"Leptospermum trinervium"
-37.57216,149.27808,"Leptospermum trinervium"
-37.57194,149.54694,"Leptospermum trinervium"
-37.57027,149.72983,"Leptospermum trinervium"
-37.56917,149.20944,"Leptospermum trinervium"
-37.56778,149.45694,"Leptospermum trinervium"
-37.5667,149.0667,"Leptospermum trinervium"
-37.5667,149.6167,"Leptospermum trinervium"
-37.5667,149.2667,"Leptospermum trinervium"
-37.566667,149.15,"Leptospermum trinervium"
-37.56611,149.45361,"Leptospermum trinervium"
-37.56306,149.46833,"Leptospermum trinervium"
-37.56268,149.54771,"Leptospermum trinervium"
-37.56,149.26222,"Leptospermum trinervium"
-37.5588,149.4274,"Leptospermum trinervium"
-37.55862,149.46359,"Leptospermum trinervium"
-37.55861,149.46361,"Leptospermum trinervium"
-37.55528,149.45556,"Leptospermum trinervium"
-37.55417,149.50861,"Leptospermum trinervium"
-37.5525,149.29,"Leptospermum trinervium"
-37.55056,149.46333,"Leptospermum trinervium"
-37.55,149.7167,"Leptospermum trinervium"
-37.55,149.75,"Leptospermum trinervium"
-37.55,149.716667,"Leptospermum trinervium"
-37.55,149.2167,"Leptospermum trinervium"
-37.55,149.49194,"Leptospermum trinervium"
-37.54972,149.57361,"Leptospermum trinervium"
-37.549021,149.722119,"Leptospermum trinervium"
-37.54833,149.56778,"Leptospermum trinervium"
-37.546031,149.707033,"Leptospermum trinervium"
-37.54556,149.45944,"Leptospermum trinervium"
-37.54556,149.30472,"Leptospermum trinervium"
-37.545115,149.715703,"Leptospermum trinervium"
-37.54389,149.29639,"Leptospermum trinervium"
-37.543885,149.717501,"Leptospermum trinervium"
-37.54282,149.71158,"Leptospermum trinervium"
-37.54282,149.71158,"Leptospermum trinervium"
-37.54282,149.71158,"Leptospermum trinervium"
-37.542633,149.69695,"Leptospermum trinervium"
-37.5421,149.70777,"Leptospermum trinervium"
-37.5421,149.70777,"Leptospermum trinervium"
-37.5421,149.70777,"Leptospermum trinervium"
-37.54202,149.70762,"Leptospermum trinervium"
-37.54202,149.70762,"Leptospermum trinervium"
-37.54202,149.70762,"Leptospermum trinervium"
-37.54199,149.70766,"Leptospermum trinervium"
-37.54199,149.70766,"Leptospermum trinervium"
-37.54199,149.70766,"Leptospermum trinervium"
-37.53694,149.405,"Leptospermum trinervium"
-37.53685,149.71048,"Leptospermum trinervium"
-37.53685,149.71048,"Leptospermum trinervium"
-37.53685,149.71048,"Leptospermum trinervium"
-37.53624,149.7102,"Leptospermum trinervium"
-37.53624,149.7102,"Leptospermum trinervium"
-37.53624,149.7102,"Leptospermum trinervium"
-37.53605,149.7101,"Leptospermum trinervium"
-37.53605,149.7101,"Leptospermum trinervium"
-37.53605,149.7101,"Leptospermum trinervium"
-37.53515,149.71059,"Leptospermum trinervium"
-37.53515,149.71059,"Leptospermum trinervium"
-37.53515,149.71059,"Leptospermum trinervium"
-37.53333,149.51583,"Leptospermum trinervium"
-37.53325,149.83458,"Leptospermum trinervium"
-37.5328,149.83263,"Leptospermum trinervium"
-37.5325,149.58611,"Leptospermum trinervium"
-37.52806,149.80389,"Leptospermum trinervium"
-37.52645,149.84498,"Leptospermum trinervium"
-37.52556,149.49306,"Leptospermum trinervium"
-37.525556,149.305,"Leptospermum trinervium"
-37.525,149.82,"Leptospermum trinervium"
-37.52472,149.85611,"Leptospermum trinervium"
-37.52334,149.85018,"Leptospermum trinervium"
-37.52333,149.69,"Leptospermum trinervium"
-37.52333,149.30167,"Leptospermum trinervium"
-37.52333,149.83444,"Leptospermum trinervium"
-37.52226,149.84734,"Leptospermum trinervium"
-37.5214,149.81881,"Leptospermum trinervium"
-37.52073,149.83968,"Leptospermum trinervium"
-37.52026,149.84409,"Leptospermum trinervium"
-37.52,149.30194,"Leptospermum trinervium"
-37.51963,149.81951,"Leptospermum trinervium"
-37.51947,149.82276,"Leptospermum trinervium"
-37.5189,149.81466,"Leptospermum trinervium"
-37.51853,149.81549,"Leptospermum trinervium"
-37.51821,149.81725,"Leptospermum trinervium"
-37.51676,149.81402,"Leptospermum trinervium"
-37.5167,149.5667,"Leptospermum trinervium"
-37.51646,149.81823,"Leptospermum trinervium"
-37.51522,149.81548,"Leptospermum trinervium"
-37.515,149.61778,"Leptospermum trinervium"
-37.515,149.26778,"Leptospermum trinervium"
-37.51209,149.81969,"Leptospermum trinervium"
-37.511704,149.750915,"Leptospermum trinervium"
-37.51083,149.84278,"Leptospermum trinervium"
-37.51004,149.68794,"Leptospermum trinervium"
-37.51004,149.68794,"Leptospermum trinervium"
-37.51004,149.68794,"Leptospermum trinervium"
-37.50984,149.68828,"Leptospermum trinervium"
-37.50984,149.68828,"Leptospermum trinervium"
-37.50984,149.68828,"Leptospermum trinervium"
-37.50981,149.68626,"Leptospermum trinervium"
-37.50981,149.68626,"Leptospermum trinervium"
-37.50981,149.68626,"Leptospermum trinervium"
-37.50964,149.68891,"Leptospermum trinervium"
-37.50964,149.68891,"Leptospermum trinervium"
-37.50964,149.68891,"Leptospermum trinervium"
-37.50939,149.6851,"Leptospermum trinervium"
-37.50939,149.6851,"Leptospermum trinervium"
-37.50939,149.6851,"Leptospermum trinervium"
-37.50925,149.68413,"Leptospermum trinervium"
-37.50925,149.68413,"Leptospermum trinervium"
-37.50925,149.68413,"Leptospermum trinervium"
-37.50915,149.68999,"Leptospermum trinervium"
-37.50915,149.68999,"Leptospermum trinervium"
-37.50915,149.68999,"Leptospermum trinervium"
-37.50853,149.6912,"Leptospermum trinervium"
-37.50853,149.6912,"Leptospermum trinervium"
-37.50853,149.6912,"Leptospermum trinervium"
-37.50806,149.91917,"Leptospermum trinervium"
-37.50806,149.68778,"Leptospermum trinervium"
-37.507871,149.758388,"Leptospermum trinervium"
-37.50783,149.82266,"Leptospermum trinervium"
-37.50694,149.56861,"Leptospermum trinervium"
-37.50492,149.82327,"Leptospermum trinervium"
-37.50488,149.82409,"Leptospermum trinervium"
-37.503417,149.824917,"Leptospermum trinervium"
-37.50257,149.82664,"Leptospermum trinervium"
-37.50168,149.81353,"Leptospermum trinervium"
-37.50119,149.81317,"Leptospermum trinervium"
-37.50084,149.81576,"Leptospermum trinervium"
-37.50053,149.8189,"Leptospermum trinervium"
-37.5004,149.81531,"Leptospermum trinervium"
-37.49989,149.8229,"Leptospermum trinervium"
-37.49965,149.83596,"Leptospermum trinervium"
-37.49944,149.82333,"Leptospermum trinervium"
-37.49889,149.82444,"Leptospermum trinervium"
-37.49833,149.33444,"Leptospermum trinervium"
-37.49833,149.33444,"Leptospermum trinervium"
-37.49833,149.33444,"Leptospermum trinervium"
-37.49778,149.82556,"Leptospermum trinervium"
-37.4975,149.8215,"Leptospermum trinervium"
-37.49639,149.82583,"Leptospermum trinervium"
-37.49634,149.82384,"Leptospermum trinervium"
-37.49503,149.49326,"Leptospermum trinervium"
-37.49503,149.49326,"Leptospermum trinervium"
-37.49503,149.49326,"Leptospermum trinervium"
-37.49503,149.49326,"Leptospermum trinervium"
-37.49503,149.49326,"Leptospermum trinervium"
-37.49503,149.49326,"Leptospermum trinervium"
-37.49463,149.49304,"Leptospermum trinervium"
-37.49463,149.49304,"Leptospermum trinervium"
-37.49463,149.49304,"Leptospermum trinervium"
-37.49463,149.49304,"Leptospermum trinervium"
-37.49463,149.49304,"Leptospermum trinervium"
-37.49463,149.49304,"Leptospermum trinervium"
-37.49278,149.48861,"Leptospermum trinervium"
-37.4919,149.48186,"Leptospermum trinervium"
-37.4919,149.48186,"Leptospermum trinervium"
-37.4919,149.48186,"Leptospermum trinervium"
-37.4919,149.48186,"Leptospermum trinervium"
-37.4919,149.48186,"Leptospermum trinervium"
